Angle,MAE,RMSE,R2_Score
left_elbow_angle,7.219198388066752,10.592166038174575,0.9561106833113056
right_elbow_angle,7.370237485577588,11.830060903068228,0.9487389006986985
left_shoulder_angle,14.575871477380266,50.19154836001641,0.5762302077412371
right_shoulder_angle,8.833645766774257,20.46208478104975,0.8988989286368542
left_knee_angle,12.599653079453814,24.115442474926617,0.8936871255091393
right_knee_angle,11.994294549768199,23.745773509432958,0.9084143890275624
angle_for_ardhaChandrasana1,18.856155650287917,53.88781298721086,0.6400939773972523
angle_for_ardhaChandrasana2,21.154212305261268,59.045048345267105,0.5357301781770012
hand_angle,17.449158015346157,40.89431052087056,0.8124162966406951
left_hip_angle,6.103924590941184,8.812818406777694,0.9594279057352173
right_hip_angle,5.830700258600968,8.360932621282997,0.9831191322621952
neck_angle_uk,18.449342982360676,43.08784546389488,0.5583259318813634
left_wrist_angle_bk,33.61576285433876,63.46103229881563,0.5777984740464914
right_wrist_angle_bk,30.02333302858906,65.98070578487643,0.5837659246224355
